,Target,Model,Metric,Value
0,TIT,BiLSTM,Precision,0.9495996463133075
1,TIT,BiLSTM,Recall,0.9633228683908905
2,TIT,BiLSTM,F1,0.9564120324559668
3,TIT,BiLSTM-LSTM,Precision,0.9442712392829307
4,TIT,BiLSTM-LSTM,Recall,0.9659640205312204
5,TIT,BiLSTM-LSTM,F1,0.9549944574454982
6,TIT,BiLSTM-CRF,Precision,0.9526293823038398
7,TIT,BiLSTM-CRF,Recall,0.9099516619325261
8,TIT,BiLSTM-CRF,F1,0.9308015802217409
9,CNP,BiLSTM,Precision,0.9416636915387362
10,CNP,BiLSTM,Recall,0.9498532509858293
11,CNP,BiLSTM,F1,0.9457407424007459
12,CNP,BiLSTM-LSTM,Precision,0.951637866676378
13,CNP,BiLSTM-LSTM,Recall,0.9410483101355853
14,CNP,BiLSTM-LSTM,F1,0.9463134641848338
15,CNP,BiLSTM-CRF,Precision,0.9513701884999208
16,CNP,BiLSTM-CRF,Recall,0.8651529610890037
17,CNP,BiLSTM-CRF,F1,0.9062155204119162
18,STD,BiLSTM,Precision,0.958260753048372
19,STD,BiLSTM,Recall,0.9935398721867186
20,STD,BiLSTM,F1,0.9755814746606644
21,STD,BiLSTM-LSTM,Precision,0.960344711506093
22,STD,BiLSTM-LSTM,Recall,0.990830786329536
23,STD,BiLSTM-LSTM,F1,0.9753495846011829
24,STD,BiLSTM-CRF,Precision,0.9523586169927634
25,STD,BiLSTM-CRF,Recall,0.9872881355932204
26,STD,BiLSTM-CRF,F1,0.9695088676671214
27,EFD,BiLSTM,Precision,0.9545627376425856
28,EFD,BiLSTM,Recall,0.9378035113933507
29,EFD,BiLSTM,F1,0.9461089127567364
30,EFD,BiLSTM-LSTM,Precision,0.9600232874053949
31,EFD,BiLSTM-LSTM,Recall,0.923982069480762
32,EFD,BiLSTM-LSTM,F1,0.9416579423241648
33,EFD,BiLSTM-CRF,Precision,0.9214175654853621
34,EFD,BiLSTM-CRF,Recall,0.8935375420246545
35,EFD,BiLSTM-CRF,F1,0.9072634174094443
36,TED,BiLSTM,Precision,0.9161462979482605
37,TED,BiLSTM,Recall,0.9793388429752066
38,TED,BiLSTM,F1,0.9466891995698264
39,TED,BiLSTM-LSTM,Precision,0.9485837438423645
40,TED,BiLSTM-LSTM,Recall,0.9793388429752066
41,TED,BiLSTM-LSTM,F1,0.9637159837347513
42,TED,BiLSTM-CRF,Precision,0.8871295168493707
43,TED,BiLSTM-CRF,Recall,0.6945327399872855
44,TED,BiLSTM-CRF,F1,0.7791050098056695
45,PER,BiLSTM,Precision,0.8869090909090909
46,PER,BiLSTM,Recall,0.8869090909090909
47,PER,BiLSTM,F1,0.8869090909090909
48,PER,BiLSTM-LSTM,Precision,0.8792184724689165
49,PER,BiLSTM-LSTM,Recall,0.9
50,PER,BiLSTM-LSTM,F1,0.8894878706199459
51,PER,BiLSTM-CRF,Precision,0.8306825712392313
52,PER,BiLSTM-CRF,Recall,0.9116363636363637
53,PER,BiLSTM-CRF,F1,0.8692787794729543
54,VAL,BiLSTM,Precision,0.8981067125645439
55,VAL,BiLSTM,Recall,0.7080054274084124
56,VAL,BiLSTM,F1,0.7918057663125948
57,VAL,BiLSTM-LSTM,Precision,0.890524379024839
58,VAL,BiLSTM-LSTM,Recall,0.7880597014925373
59,VAL,BiLSTM-LSTM,F1,0.8361646991074
60,GOV,BiLSTM,Precision,0.9795590843821269
61,GOV,BiLSTM,Recall,0.9889988060719768
62,GOV,BiLSTM,F1,0.9842563123276045
63,GOV,BiLSTM-LSTM,Precision,0.9856555622163227
64,GOV,BiLSTM-LSTM,Recall,0.9815367559269998
65,GOV,BiLSTM-LSTM,F1,0.983591847199077
66,GOV,BiLSTM-CRF,Precision,0.9786737033352079
67,GOV,BiLSTM-CRF,Recall,0.9646938427426233
68,GOV,BiLSTM-CRF,F1,0.9716334900899739
69,JUR,BiLSTM,Precision,0.9546221472338158
70,JUR,BiLSTM,Recall,0.8816172550949276
71,JUR,BiLSTM,F1,0.9166684431558976
72,JUR,BiLSTM-LSTM,Precision,0.9544780674980379
73,JUR,BiLSTM-LSTM,Recall,0.8976093820478124
74,JUR,BiLSTM-LSTM,F1,0.9251706430548804
75,LEG,BiLSTM,Precision,0.9665017007076878
76,LEG,BiLSTM,Recall,0.968374977791417
77,LEG,BiLSTM,F1,0.9674374324302518
78,LEG,BiLSTM-LSTM,Precision,0.9702684390527199
79,LEG,BiLSTM-LSTM,Recall,0.971443800171208
80,LEG,BiLSTM-LSTM,F1,0.9708557638759977
81,LEG,BiLSTM-CRF,Precision,0.887430728944644
82,LEG,BiLSTM-CRF,Recall,0.9414824027264064
83,LEG,BiLSTM-CRF,F1,0.9136578446201712
84,VAL,BiLSTM-CRF,Precision,0.9001524390243902
85,VAL,BiLSTM-CRF,Recall,0.6409769335142469
86,VAL,BiLSTM-CRF,F1,0.7487715961325091
87,JUR,BiLSTM-CRF,Precision,0.9541182974018795
88,JUR,BiLSTM-CRF,Recall,0.7077541312994629
89,JUR,BiLSTM-CRF,F1,0.8126750947571627
